source,strategy,T,n,mean,std,ci_low,ci_high
ablation,cerm,803,19,0.025028623206348435,0.033529027826459404,0.009952133617792042,0.04010511279490483
ablation,cerm,804,19,0.02488033503856177,0.03329721148084229,0.009908082791429141,0.039852587285694394
ablation,cerm,805,19,0.024732046870775102,0.03306989971354169,0.00986200645963133,0.03960208728191887
ablation,cerm,806,19,0.024583758702988436,0.03284718604353799,0.009813862571136598,0.039353654834840275
ablation,cerm,807,19,0.024435470535201773,0.03262916462530433,0.009763608788930544,0.039107332281473
ablation,cerm,808,19,0.024287182367415106,0.03241593013570564,0.009711202541102764,0.03886316219372745
ablation,cerm,809,19,0.024138894199628436,0.03220757765234772,0.009656601075547784,0.03862118732370909
ablation,cerm,810,19,0.023990606031841777,0.032004202523299816,0.009599761518544952,0.0383814505451386
ablation,cerm,811,19,0.02384231786405511,0.031805900228166706,0.009540640937227996,0.03814399479088222
ablation,cerm,812,19,0.023694029696268448,0.03161276623054557,0.009479196405928566,0.03790886298660833
ablation,cerm,813,19,0.02354574152848178,0.03142489582196689,0.009415385076348913,0.03767609798061465
ablation,cerm,814,19,0.023397453360695118,0.031242383957488656,0.009349164251487792,0.03744574246990244
ablation,cerm,815,19,0.023249165192908455,0.031065325083187843,0.009280491463209722,0.03721783892260719
ablation,cerm,816,19,0.023100877025121785,0.03089381295587285,0.009209324553312167,0.036992429496931406
ablation,cerm,817,19,0.02299375125642007,0.030814025741161422,0.00913807549174681,0.036849427021093326
ablation,cerm,818,19,0.022886625487718346,0.03073723388416929,0.009065479553090268,0.03670777142234642
ablation,cerm,819,19,0.022779499719016626,0.03066345988912463,0.008991526618207468,0.03656747281982578
ablation,cerm,820,19,0.022672373950314906,0.030592725588650158,0.008916206869953964,0.036428541030675846
ablation,cerm,821,19,0.022565248181613186,0.030525052113986796,0.008839510806565037,0.03629098555666133
ablation,cerm,822,19,0.022458122412911462,0.03046045986569201,0.008761429254831315,0.03615481557099161
ablation,cerm,823,19,0.022350996644209743,0.030398968484899657,0.00868195338302193,0.03602003990539755
ablation,cerm,824,19,0.022243870875508023,0.03034059682522866,0.008601074713515913,0.03588666703750013
ablation,cerm,825,19,0.022136745106806303,0.030285362925428078,0.008518785135102468,0.03575470507851014
ablation,cerm,826,19,0.022029619338104583,0.030233283982845388,0.008435076914911096,0.03562416176129807
ablation,cerm,827,19,0.02192249356940286,0.030184376327804463,0.008349942709932653,0.035495044428873065
ablation,cerm,828,19,0.02181536780070114,0.0301386553989778,0.00826337557809336,0.03536736002330892
ablation,cerm,829,19,0.02170824203199942,0.03009613571983635,0.008175368988844224,0.035241115075154615
ablation,cerm,830,19,0.021601116263297703,0.03005683087625756,0.008085916833229729,0.03511631569336568
ablation,cerm,831,19,0.02149399049459598,0.030020753495369746,0.007995013433400516,0.03499296755579144
ablation,cerm,832,19,0.02138686472589426,0.029987915225707575,0.007902653551536626,0.034871075900251895
ablation,cerm,833,19,0.021379499557193687,0.029907904060234348,0.007931265790516015,0.03482773332387136
ablation,cerm,834,19,0.021372134388493114,0.029828991294691392,0.007959384128652276,0.03478488464833395
ablation,cerm,835,19,0.02136476921979254,0.02975118566934774,0.007987004635841148,0.03474253380374393
ablation,cerm,836,19,0.02135740405109197,0.02967449589286841,0.008014123396189274,0.03470068470599467
ablation,cerm,837,19,0.0213500388823914,0.029598930638628843,0.008040736509671416,0.03465934125511139
ablation,cerm,838,19,0.021342673713690828,0.029524498540965814,0.008066840093816264,0.03461850733356539
ablation,cerm,839,19,0.021335308544990255,0.029451208191367272,0.0080924302854197,0.03457818680456081
ablation,cerm,840,19,0.021327943376289685,0.029379068134603243,0.008117503242284538,0.03453838351029483
ablation,cerm,841,19,0.021320578207589112,0.02930808686480056,0.008142055144985545,0.03449910127019268
ablation,cerm,842,19,0.02131321303888854,0.029238272821464083,0.008166082198658529,0.034460343879118546
ablation,cerm,843,19,0.021305847870187973,0.029169634385447316,0.00818958063481217,0.034422115105563776
ablation,cerm,844,19,0.021298482701487396,0.029102179874875525,0.00821254671316118,0.03438441868981361
ablation,cerm,845,19,0.021291117532786827,0.029035917541024678,0.008234976723479413,0.03434725834209424
ablation,cerm,846,19,0.021283752364086254,0.028970855564159532,0.008256866987471231,0.034310637740701276
ablation,cerm,847,19,0.02127638719538568,0.02890700204933464,0.00827821386065964,0.03427456053011172
ablation,cerm,848,19,0.02126902202668511,0.02884436502216188,0.008299013734289437,0.034239030319080786
ablation,cerm,849,19,0.021391190005325866,0.02898621480483014,0.008357398271829363,0.03442498173882237
ablation,cerm,850,19,0.02151335798396662,0.029135359327183714,0.00841250269437502,0.03461421327355822
ablation,cerm,851,19,0.021635525962607375,0.02929168716152735,0.008464377105928705,0.034806674819286045
ablation,cerm,852,19,0.02175769394124813,0.02945508393547336,0.008513072934587926,0.035002314947908335
ablation,cerm,853,19,0.02187986191988888,0.029625432684689913,0.008558642773930399,0.035201081065847364
ablation,cerm,854,19,0.02200202989852964,0.0298026141990384,0.008601140227371748,0.03540291956968753
ablation,cerm,855,19,0.022124197877170394,0.0299865073603225,0.008640619756294954,0.035607775998045835
ablation,cerm,856,19,0.022246365855811148,0.030176989470073787,0.008677136532660014,0.03581559517896228
ablation,cerm,857,19,0.022368533834451903,0.0303739365660023,0.00871074629671038,0.03602632137219343
ablation,cerm,858,19,0.022490701813092658,0.030577223725944087,0.008741505220301501,0.03623989840588381
ablation,cerm,859,19,0.02261286979173341,0.030786725358336875,0.008769469776287007,0.03645626980717981
ablation,cerm,860,19,0.022735037770374163,0.031002315478447836,0.008794696614311582,0.03667537892643674
